sample_id,shape_type,nx,ny,tau,rho0,uMax,uMean,maxSteps,coutInterval,characteristic_length,reynolds,anchor_x,anchor_y,radius,rect_x1,rect_y1,rect_x2,rect_y2,rect_width,rect_height,ellipse_rx,ellipse_ry,chord,bbox_min_x,bbox_max_x,bbox_min_y,bbox_max_y,solid_cells,solid_fraction,fx,fy,avgFx,avgFy,Cd,Cl,status,elapsed_ms
19,circle,300,80,0.787403,1,0.0544803,0.0363202,5000,1000,28,10.6154,142,59,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,128,156,45,73,76,0.00316667,0.148797,-0.0706822,0.144687,-0.0733493,7.8344,-3.97165,ok,88760
20,circle,300,80,0.833246,1,0.055366,0.0369107,5000,1000,12,3.9874,82,34,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,76,88,28,40,32,0.00133333,0.0904259,0.0046546,0.0914734,0.00458316,11.1902,0.560673,ok,88898
21,circle,300,80,0.956578,1,0.0630735,0.042049,5000,1000,22,6.07834,138,53,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,127,149,42,64,56,0.00233333,0.217749,-0.069771,0.22273,-0.0721675,11.4519,-3.71055,ok,88152
22,circle,300,80,0.81782,1,0.0942762,0.0628508,5000,1000,12,7.11922,159,26,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,153,165,20,32,32,0.00133333,0.159116,0.0135182,0.161727,0.0132023,6.82355,0.55703,ok,88764
23,circle,300,80,0.584938,1,0.0429864,0.0286576,5000,1000,20,20.2436,75,34,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,65,85,24,44,52,0.00216667,0.0348072,-0.00143453,0.0441176,-1.46248e-05,5.37195,-0.00178078,ok,89351
24,circle,300,80,0.799147,1,0.068452,0.0456347,5000,1000,14,6.40708,160,42,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,153,167,35,49,36,0.0015,0.128578,-0.0019258,0.129613,-0.00186963,8.89122,-0.128253,ok,89614
25,circle,300,80,0.809085,1,0.0819277,0.0546185,5000,1000,14,7.42182,224,54,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,217,231,47,61,36,0.0015,0.146108,-0.0222984,0.147799,-0.0223052,7.07771,-1.06814,ok,89098
26,circle,300,80,0.825062,1,0.09271,0.0618067,5000,1000,20,11.4083,90,60,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,80,100,50,70,52,0.00216667,0.225729,-0.098249,0.225351,-0.0992919,5.89914,-2.59922,ok,89585
27,circle,300,80,0.602806,1,0.0575598,0.0383732,5000,1000,14,15.6769,213,35,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,206,220,28,42,36,0.0015,0.0574257,-0.000774611,0.0527141,-0.000658153,5.11414,-0.0638517,ok,89654
28,circle,300,80,0.957598,1,0.0760556,0.0507038,5000,1000,16,5.3186,135,50,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,127,143,42,58,40,0.00166667,0.209524,-0.0335632,0.214137,-0.0338936,10.4117,-1.64796,ok,90112
